city,name,also_known_as,architect/creator,date_constructed,era_dynasty,description,architectural_style,key_features,visitor_info,image_prompt,type,tags
Essaouira,Gnawa Music Festival,Gnaoua Festival,Vernacular,1998,Modern,"A world-famous annual music festival that transforms the medina into a stage, fusing Gnawa music with jazz, blues, and world music.",Vernacular,Open-air concerts within the historic medina squares; The incredible energy and fusion of musical styles; Street performances and impromptu jams,Held in June. Book accommodation months in advance.,Crowd watching a Gnawa musician perform at sunset in Essaouira,Festival,"music, culture, june, vibrant, world music"
Kelaa des M'Gouna,Rose Festival,Fête des Roses,Vernacular,1960s,Modern,"An annual festival celebrating the harvest of Damascus roses used to make perfume, rose water, and cosmetics in the Valley of the Roses.",Vernacular,"The colorful parades with traditional music and dance; Buying local rose-based products (oil, water); The fragrant fields in bloom (best early May)",Festival is in early May. Fields bloom April-May.,Rose petals floating in water at the Kelaa M'Gouna Rose Festival,Festival,"roses, perfume, may, fragrant, shopping"
Marrakech,Musée Yves Saint Laurent,mYSL,Contemporary / Moroccan,2017,Modern,"A stunning museum dedicated to the work of the legendary French fashion designer Yves Saint Laurent, who found profound inspiration in Marrakech.",Contemporary / Moroccan,"The permanent exhibition of iconic haute couture garments; The rotating thematic exhibitions on art and fashion; The breathtaking building design, blending modern lines with traditional Moroccan elements","Open Wed-Mon, 10 AM - 6 PM. Closed Tuesday. Fee: 130 MAD. Combined tickets with Jardin Majorelle available.",Striking terracotta facade of the Yves Saint Laurent Museum in Marrakech,Museum,"fashion, art, architecture, design, modern"
Marrakech,Jardin Majorelle,Jardin Majorelle,Art Deco / Botanical,1920s (restored 1980s),20th Century,"A lush and enchanting botanical garden, formerly owned by Yves Saint Laurent. Famous for its vibrant cobalt blue accent color and unique plant collection.",Art Deco / Botanical,The intense 'Majorelle Blue' used throughout the garden; The collection of rare cacti and exotic plants; The Berber Museum located within the garden,"Open daily, 8 AM - 5:30 PM. Gets very crowded; arrive early. Fee: 150 MAD.",Vibrant blue garden building (Majorelle Blue) surrounded by green cacti,Garden / Museum,"garden, photography, iconic, peaceful"
Marrakech,El Badi Palace,Palais El Badi,Saadian,16th Century,Saadi,The sprawling ruins of a once magnificent palace whose name translates to 'The Incomparable'. Its vast courtyards and sunken gardens hint at its former grandeur.,Saadian,The immense central courtyard and sunken gardens; The ancient stork nests on the walls; The view from the top of the ramparts over the medina,Open 9 AM-5 PM. Fee: 70 MAD. A place to appreciate scale and history rather than intricate detail.,Aerial view of the vast ruins of El Badi Palace courtyards in Marrakech,Palace (Ruins),"history, ruins, spacious, photography"
Marrakech,Ben Youssef Madrasa,Medersa Ben Youssef,Moorish,14th Century (rebuilt 16th Cent),Marinid / Saadi,An ancient Islamic college and one of the largest madrasas in North Africa. A breathtaking masterpiece of Moorish architecture and intricate design.,Moorish,The stunning central courtyard with carved cedar and zellij; The incredibly detailed stucco work and calligraphy; The tiny student dormitory cells surrounding the courtyard,Open 9 AM-5 PM. Fee: 60 MAD. One of the top architectural sights in the medina.,Intricate zellij tilework and carved cedar in Ben Youssef Madrasa courtyard,Madrasa (Islamic School),"architecture, details, history, instagram"
Marrakech,Le Jardin Secret,The Secret Garden,Islamic / Exotic,19th Century,Alaouite,"A recently restored historic riad garden in the medina, showcasing both Islamic and exotic garden designs with a tall tower for views.",Islamic / Exotic,The two distinct garden types: Islamic and Exotic; The innovative water and irrigation system exhibit; The panoramic view from the watchtower over the medina,"Open daily, 9:30 AM - 6:30 PM. Fee: 80 MAD. A peaceful oasis.",Tranquil Islamic garden with geometric pathways at Le Jardin Secret,Garden,"peaceful, restoration, oasis, medina"
Marrakech,Maison de la Photographie,House of Photography,Traditional Riad,2009,Modern,"A museum housed in a traditional riad, showcasing a beautiful collection of vintage photographs documenting Moroccan life from 1870-1950.",Traditional Riad,"The historical black and white photographs; The intimate, quiet atmosphere of the riad; The panoramic rooftop cafe with great views","Open daily, 9:30 AM - 7 PM. Fee: 50 MAD.",Vintage photo of a Moroccan woman displayed in a traditional riad setting,Museum,"photography, history, hidden gem, rooftop"
Marrakech,Musée de Marrakech,Museum of Marrakech,Moroccan Palace,19th Century (museum 1997),Alaouite,"A museum of Moroccan modern art and historical objects, housed in a beautifully restored 19th-century palace near the Ben Youssef Madrasa.",Moroccan Palace,The stunning central courtyard with a massive chandelier; The mix of contemporary art and historical exhibits; The traditional hammam and kitchen displays,Open 9 AM-6:30 PM. Fee: 60 MAD. Often combined with the madrasa.,Grand central courtyard of Musée de Marrakech with ornate chandelier,Museum / Palace,"art, palace, courtyard, combined ticket"
Marrakech,Cyber Park Arsat Moulay Abdeslam,Cyber Parc,Islamic Garden / Modern,18th Century (modernized 2005),Alaouite,"A historic garden that has been seamlessly blended with modern technology, offering free Wi-Fi and digital exhibits amidst the greenery.",Islamic Garden / Modern,The free public Wi-Fi throughout the garden; The blend of ancient irrigation with modern tech; A peaceful escape near the bustling Jemaa el-Fnaa,Open 8 AM-11 PM. Free entry.,People relaxing in Cyber Park garden with smartphones and laptops,Garden / Park,"free, wifi, peaceful, central"
Marrakech,La Mamounia Hotel,Hotel La Mamounia,Art Deco-Moorish,1923,French Protectorate,A legendary luxury hotel known as the 'jewel of Marrakech'. Its stunning Art Deco-Moorish architecture and gardens are an attraction in themselves.,Art Deco-Moorish,The breathtakingly opulent interior and gardens; Having a famous cocktail in one of its bars; The iconic swimming pool and views of the Koutoubia,Non-guests can often visit for a pricey drink or meal. Dress code applies.,The famous geometric pool at La Mamounia Hotel with palm trees,Luxury Hotel,"iconic, luxury, architecture, gardens"
Tangier,Beach Horseback Riding,Cheval Plage,Natural,natural,Modern,"Experience riding horses along the sandy shores of Tangier's beaches, with the sea breeze and views of the Strait of Gibraltar.",Natural,Guided rides at sunset or sunrise; Suitable for beginners and experienced riders; Photos with the horses on the beach,Offered by multiple stables like Club d'Équitation. Book in advance.,Horseback riding on Tangier beach at golden hour with waves,Activity,"horses, beach, sunset, photography, romantic"
Sidi Kaouki,Horseback Riding on the Beach,Cheval à Sidi Kaouki,Natural,natural,Modern,"A popular activity in this bohemian beach village, offering rides along the vast Atlantic coastline near Essaouira.",Natural,"Long gallops on the wide, sandy beach; The bohemian, laid-back atmosphere of the village; Views of the Iles Purpuraires",Several stables in the village offer walks or rides. Negotiate prices on site.,Horse galloping on Sidi Kaouki beach with Essaouira in the distance,Activity,"horses, beach, bohemian, adventure, atlantic"
Essaouira,Beach Horse & Camel Rides,Promenade en Cheval/Chameau,Natural,natural,Traditional,A classic Essaouira experience: riding horses or camels along the immense beach with the historic city walls as a backdrop.,Natural,The option to ride either horses or camels; The iconic view of the Skala and the medina walls; The fresh ocean air and sound of the waves,Available all along the beach. Prices are negotiable.,Silhouette of a camel ride on Essaouira beach at sunset with city walls,Activity,"camels, horses, beach, iconic, family"
Agadir,Beach Horse Riding,Cheval Plage Agadir,Natural,natural,Modern,"Enjoy a peaceful ride along Agadir's famous long beach, with options for beginners in the calmer areas or canters for the experienced.",Natural,Rides on Agadir's 9km long sandy beach; Lessons for beginners available; Morning and sunset time slots,Several ranches on the outskirts of town offer beach transfers. Book online or at hotels.,"Horse riding on the long, wide beach of Agadir with modern city behind",Activity,"horses, beach, long, relaxing, modern"
Dakhla,Horseback Riding in the Lagoon,Cheval Lagune de Dakhla,Natural,natural,Modern,"A unique riding experience through the shallow, turquoise waters of the Dakhla Lagoon, with the desert as a backdrop.",Natural,"Riding through ankle-deep warm, clear water; The stunning contrast of blue water and desert; Photos of horses reflecting in the water",Offered by some kitesurfing camps and local guides.,Horse riding through the shallow turquoise waters of Dakhla Lagoon,Activity,"horses, lagoon, unique, photography, desert"
Moulay Bousselham,Horse Cart Rides,Calèche de la Plage,Natural,natural,Traditional,A unique and relaxing way to explore the long beach and Merja Zerga lagoon is by traditional horse-drawn cart (calèche).,Natural,A leisurely ride along the beach and lagoon; Perfect for families with young children; The gentle pace for taking in the nature,Available for hire near the beach. Agree on price and route beforehand.,Horse-drawn carriage on the beach of Moulay Bousselham at sunset,Activity,"horse carriage, family, relaxing, nature, lagoon"
Asilah,Beach Horse Rides,Promenade à Cheval,Natural,natural,Modern,"Gentle horseback rides along Asilah's calm and clean beaches, suitable for families and those looking for a peaceful experience.",Natural,"Calm waters and a relaxed pace; The clean, white sand of Asilah's beaches; Views of the artistic medina walls",Often offered by stables just outside the medina. Inquire locally.,Tranquil horse ride on Asilah's pristine white sand beach,Activity,"horses, beach, peaceful, family, art"
El Jadida,Horseback Riding at Azemmour Beach,Cheval Azemmour,Natural,natural,Modern,"Rides along the beach near the historic town of Azemmour, following the Oum Errabia River and the Atlantic coast.",Natural,"Scenery combining river, beach, and historic town; A less crowded alternative near El Jadida; Birdwatching opportunities in the area",Stables in Azemmour offer guided rides. Best to book ahead.,Horse riding on Azemmour beach with the river meeting the ocean,Activity,"horses, beach, river, history, birdwatching"
Tangier,Club d'Équitation Tanger,Tanger Riding Club,Equestrian Center, forest trails, lessons,Book ahead; seasonal,Equestrian Center,horses, beach, sports,Activity,"horses, sports, lessons, nature"
Tangier,El Mnar,El Minar,Moroccan workers,20th century,Always free; best at sunset,"Phare du Cap Malabata is a historic lighthouse located on Cape Malabata, about 10 km northeast of Tangier, Morocco. Built in the early 20th century in a traditional Moroccan lighthouse style, it stands 18 meters tall with a focal height of 76 meters, guiding maritime traffic through the Strait of Gibraltar. Visitors can enjoy sightseeing, photography, and historical exploration while taking in panoramic views of the bay.",Traditional Moroccan lighthouse design, photography,you can go afternoon to watch the sunset and have tea or coffee in local coffee shops there,Mnar tanger.jpg,"Activity Sightseeing, Cultural tour","Lighthouse, Cape Malabata, Tangier, Morocco, Maritime History, Strait of Gibraltar"
Tangier,Cap Spartel,Cape Spartel,Natural Landmark, lighthouse, cliffs,Always free; lighthouse access varies,Natural Landmark,lighthouse, oceans, nature,Activity,"lighthouse, oceans, nature, views"
Tangier,Cap Spartel Lighthouse Museum,Musée du Phare,Museum, keeper stories, artifacts,10AM-5PM; small fee,Museum,maritime, history, educational,Activity,"maritime, history, educational, museum"
Tangier,Donabo Gardens,Jardins Donabo,Botanical Garden, cooking school, sea views,"Public botanical garden in Tangier offering diverse themed gardens, educational workshops, and serene walking paths, fees :Tourists: 50 MAD, Residents: 35 MAD, Children: 25 MAD, Students: 25 MAD",Botanical Garden,garden,"Doonabo Gardens is a tranquil botanical haven nestled atop a mountain, offering panoramic views of the Mediterranean Sea. The gardens feature a diverse array of themed areas, including the Mint Maze, Chilli Garden, Chinese Garden, Hibiscus Garden, Moroccan Garden, Pollinators Garden, and the Promenade. Visitors can enjoy leisurely strolls through these lush landscapes, participate in seasonal cooking classes, and savor organic dishes at the on-site café.", peaceful,Activity,"garden, cooking, peaceful, nature"
